
 Pop : 18,11, g = 18.1421, rhs = 18.1421, h = 9.53939 key :27.6815,18.1421
 Pop : 19,9, g = 18.3137, rhs = 18.3137, h = 9.43398 key :27.7477,18.3137
 Pop : 21,3, g = 17.8284, rhs = 17.8284, h = 9.94987 key :27.7783,17.8284
 Pop : 15,15, g = 18.5563, rhs = 18.5563, h = 9.32738 key :27.8837,18.5563
 Pop : 11,17, g = 18.8995, rhs = 18.8995, h = 9 key :27.8995,18.8995
 Pop : 1,18, g = 18.2426, rhs = 18.2426, h = 9.69536 key :27.938,18.2426
 Pop : 8,18, g = 18.6569, rhs = 18.6569, h = 9.32738 key :27.9842,18.6569
 Pop : 13,16, g = 18.7279, rhs = 18.7279, h = 9.27362 key :28.0015,18.7279
 Pop : 18,12, g = 18.5563, rhs = 18.5563, h = 9.48683 key :28.0432,18.5563
 Pop : 19,10, g = 18.7279, rhs = 18.7279, h = 9.38083 key :28.1088,18.7279
 Pop : 21,4, g = 18.2426, rhs = 18.2426, h = 9.89949 key :28.1421,18.2426
